Fecha,NoRedion,Region,Estado,Municipio/Zona,Gasolina<92,Gasolina>92,Diésel
Enero,11,Cuautla,Puebla,TECOMATLAN,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,IZUCAR DE MATAMOROS,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,CHIETLA,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,EPATLAN,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,TILAPA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,AXOCHIAPAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TETELA DEL VOLCAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TOTOLAPAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TLAYACAPAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TEPALCINGO,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,YECAPIXTLA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,YAUTEPEC,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,AYALA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,JANTETELCO,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,ATLATLAHUCAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,CUAUTLA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,JONACATEPEC DE LEANDRO VALLE,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TEMOAC,15.88,17.65,16.95
Enero,11,Cuautla,México,TEPETLIXPA,15.88,17.65,16.95
Enero,12,Cuernavaca,Morelos,AMACUZAC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,MAZATEPEC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,JOJUTLA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,PUENTE DE IXTLA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,TLALTIZAPAN DE ZAPATA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,HUITZILAC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,ZACATEPEC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,MIACATLAN,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,TEPOZTLAN,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,XOCHITEPEC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,CUERNAVACA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,EMILIANO ZAPATA_MOR,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,TEMIXCO,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,JIUTEPEC,15.93,17.7,17
Enero,13,Culiacan,Sinaloa,CULIACAN,16.24,18.01,17.34
Enero,13,Culiacan,Sinaloa,NAVOLATO,16.24,18.01,17.34
Enero,14,Durango,Durango,NUEVO IDEAL,16.27,18.04,17.28
Enero,14,Durango,Durango,SANTIAGO PAPASQUIARO,16.27,18.04,17.28
Enero,14,Durango,Durango,SAN JUAN DEL RIO_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,PUEBLO NUEVO_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,SUCHIL,16.27,18.04,17.28
Enero,14,Durango,Durango,MEZQUITAL,16.27,18.04,17.28
Enero,14,Durango,Durango,VICENTE GUERRERO_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,POANAS,16.27,18.04,17.28
Enero,14,Durango,Durango,GUADALUPE VICTORIA_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,NOMBRE DE DIOS,16.27,18.04,17.28
Enero,14,Durango,Durango,CANATLAN,16.27,18.04,17.28
Enero,14,Durango,Durango,PANUCO DE CORONADO,16.27,18.04,17.28
Enero,14,Durango,Durango,TOPIA,16.27,18.04,17.28
Enero,14,Durango,Durango,DURANGO,16.27,18.04,17.28
Enero,15,El Castillo,Jalisco,TUXCUECA,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ACATIC,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,TEPATITLAN DE MORELOS,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,OCOTLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,TOTOTLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZAPOTLAN DEL REY,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,JOCOTEPEC,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZACOALCO DE TORRES,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,PONCITLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZAPOTLANEJO,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,CHAPALA,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZAPOPAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,JUANACATLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,IXTLAHUACAN DE LOS MEMBRILLOS,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,EL SALTO,16.53,18.41,17.26
Enero,16,Ensenada,Baja California,ENSENADA,16.16,17.93,17.28
Enero,17,Escamela,Veracruz,CUITLAHUAC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ZONGOLICA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,CHOCAMAN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ATOYAC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,SOLEDAD ATZOMPA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,YANGA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ACULTZINGO,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,COSCOMATEPEC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,AMATLAN DE LOS REYES,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,TLILAPAN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,CORDOBA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,NOGALES_VER,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ORIZABA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,CAMERINO Z MENDOZA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,FORTIN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,HUILOAPAN DE CUAUHTEMOC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,IXHUATLANCILLO,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,IXTACZOQUITLAN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,MARIANO ESCOBEDO,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,RAFAEL DELGADO,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,RIO BLANCO,15.62,17.39,16.69
Enero,18,Gomez Palacio,Durango,NAZAS,16.13,17.9,17.2
Enero,18,Gomez Palacio,Durango,TLAHUALILO,16.13,17.9,17.2
Enero,18,Gomez Palacio,Durango,LERDO,16.13,17.9,17.2
Enero,18,Gomez Palacio,Durango,GOMEZ PALACIO,16.13,17.9,17.2
Enero,18,Gomez Palacio,Coahuila,VIESCA,16.13,17.9,17.2
Enero,18,Gomez Palacio,Coahuila,SAN PEDRO,16.13,17.9,17.2
Enero,18,Gomez Palacio,Coahuila,FRANCISCO I MADERO_COAH,16.13,17.9,17.2
Enero,18,Gomez Palacio,Coahuila,MATAMOROS_COAH,16.13,17.9,17.2
Enero,18,Gomez Palacio,Coahuila,TORREON,16.13,17.9,17.2
Enero,19,Guadalajara,Zacatecas,TEUL DE GONZALEZ ORTEGA,16.52,18.4,17.24
Enero,19,Guadalajara,Zacatecas,BENITO JUAREZ_ZAC,16.52,18.4,17.24
Enero,19,Guadalajara,Nayarit,AMATLAN DE CAÑAS,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,ATENGUILLO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,CONCEPCION DE BUENOS AIRES,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,LA MANZANILLA DE LA PAZ,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,EL GRULLO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TAMAZULA DE GORDIANO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,AYUTLA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,UNION DE TULA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,ATENGO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TAPALPA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,CHIQUILISTLAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,JUCHITLAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TENAMAXTLAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,ZAPOTLAN EL GRANDE,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,MIXTLAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,GOMEZ FARIAS_JAL,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TEOCUITATLAN DE CORONA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TECOLOTLAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,SAN GABRIEL,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,SAYULA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,ATEMAJAC DE BRIZUELA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,SAN MARTIN HIDALGO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,SAN MARCOS_JAL,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,CUQUIO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TECHALUTA DE MONTENEGRO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,AMECA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,SAN JUANITO DE ESCOBEDO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,ETZATLAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,MAGDALENA_JAL,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,COCULA_JAL,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,IXTLAHUACAN DEL RIO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,AHUALULCO DE MERCADO,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TEQUILA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,VILLA CORONA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TEUCHITLAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,ACATLAN DE JUAREZ,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,AMATITAN,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TALA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TLAJOMULCO DE ZUÑIGA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,TONALA_JAL,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,EL ARENAL_JAL,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,GUADALAJARA,16.52,18.4,17.24
Enero,19,Guadalajara,Jalisco,SAN PEDRO TLAQUEPAQUE,16.52,18.4,17.24
Enero,20,Guamuchil,Sinaloa,SINALOA,16.19,17.96,17.29
Enero,20,Guamuchil,Sinaloa,GUASAVE,16.19,17.96,17.29
Enero,20,Guamuchil,Sinaloa,ANGOSTURA,16.19,17.96,17.29
Enero,20,Guamuchil,Sinaloa,MOCORITO,16.19,17.96,17.29
Enero,20,Guamuchil,Sinaloa,SALVADOR ALVARADO,16.19,17.96,17.29
Enero,21,Guaymas,Sonora,GUAYMAS,15.92,17.69,17.01
Enero,21,Guaymas,Sonora,EMPALME,15.92,17.69,17.01
Enero,22,Hermosillo,Sonora,BANAMICHI,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,ACONCHI,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,BENJAMIN HILL,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,BAVIACORA,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,RAYON_SON,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,MOCTEZUMA_SON,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,LA COLORADA,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,URES,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,CARBO,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,SAN MIGUEL DE HORCASITAS,16.06,17.83,17.16
Enero,22,Hermosillo,Sonora,HERMOSILLO,16.06,17.83,17.16
Enero,23,Iguala,Guerrero,TIXTLA DE GUERRERO,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,LEONARDO BRAVO,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,CHILPANCINGO DE LOS BRAVO,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,ATENANGO DEL RIO,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,APAXTLA,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,MOCHITLAN,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,EDUARDO NERI,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,TELOLOAPAN,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,TAXCO DE ALARCON,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,HUITZUCO DE LOS FIGUEROA,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,BUENAVISTA DE CUELLAR,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,TEPECOACUILCO DE TRUJANO,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,COCULA_GRO,15.97,17.74,17.04
Enero,23,Iguala,Guerrero,IGUALA DE LA INDEPENDENCIA,15.97,17.74,17.04
Enero,24,Iruapato,Guanajuato,YURIRIA,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,PENJAMO,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,HUANIMARO,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,GUANAJUATO,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,CUERAMARO,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,VALLE DE SANTIAGO,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,SILAO DE LA VICTORIA,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,ABASOLO_GTO,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,PUEBLO NUEVO_GTO,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,SALAMANCA,16.14,17.92,17.22
Enero,24,Iruapato,Guanajuato,IRAPUATO,16.14,17.92,17.22
Enero,25,Xalapa,Veracruz,NAOLINCO,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,TEOCELO,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,ACAJETE_VER,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,EMILIANO ZAPATA_VER,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,XICO,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,XALAPA,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,BANDERILLA,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,COATEPEC,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,JILOTEPEC_VER,15.59,17.36,16.66
Enero,25,Xalapa,Veracruz,RAFAEL LUCIO,15.59,17.36,16.66
Enero,26,Juárez,Chihuahua,PRAXEDIS G GUERRERO,15.71,17.93,16.98
Enero,26,Juárez,Chihuahua,GUADALUPE_CHI,15.71,17.93,16.98
Enero,26,Juárez,Chihuahua,JUAREZ_CHI,15.71,17.93,16.98
Enero,27,La Paz,Baja California Sur,COMONDU,16,17.76,17.07
Enero,27,La Paz,Baja California Sur,SAN JOSE DEL CABO,16,17.76,17.07
Enero,27,La Paz,Baja California Sur,LOS CABOS,16,17.76,17.07
Enero,27,La Paz,Baja California Sur,LOS CABOS,16,17.76,17.07
Enero,27,La Paz,Baja California Sur,LA PAZ_BCS,16,17.76,17.07
Enero,28,Lazaro Cárdenas,Michoacán,ARTEAGA_MICH,15.91,17.67,16.98
Enero,28,Lazaro Cárdenas,Michoacán,LAZARO CARDENAS_MICH,15.91,17.67,16.98
Enero,28,Lazaro Cárdenas,Guerrero,LA UNIÓN DE ISIDORO MONTES DE OCA,15.91,17.67,16.98
Enero,29,León,Jalisco,UNION DE SAN ANTONIO,16.09,17.86,17.16
Enero,29,León,Jalisco,LAGOS DE MORENO,16.09,17.86,17.16
Enero,29,León,Jalisco,SAN DIEGO DE ALEJANDRIA,16.09,17.86,17.16
Enero,29,León,Guanajuato,ROMITA,16.09,17.86,17.16
Enero,29,León,Guanajuato,MANUEL DOBLADO,16.09,17.86,17.16
Enero,29,León,Guanajuato,PURISIMA DEL RINCON,16.09,17.86,17.16
Enero,29,León,Guanajuato,SAN FRANCISCO DEL RINCON,16.09,17.86,17.16
Enero,29,León,Guanajuato,LEON,16.09,17.86,17.16
Enero,30,Madero,Veracruz,CHINAMPA DE GOROSTIZA,15.37,17.14,16.44
Enero,30,Madero,Veracruz,OZULUAMA DE MASCAREÑAS,15.37,17.14,16.44
Enero,30,Madero,Veracruz,PANUCO_VER,15.37,17.14,16.44
Enero,30,Madero,Veracruz,MORALILLO,15.37,17.14,16.44
Enero,30,Madero,Veracruz,TAMPICO ALTO,15.37,17.14,16.44
